pin14,city_owned,street_number,street_dir,street_name,street_type,zoning_classification,ward,residential,sq_ft,zip_code,alderman_hold
16144070220000,t,3246,W,LEXINGTON,ST,RT-4,,t,3085,,
16144070200000,t,3252,W,LEXINGTON,ST,RT-4,,t,3085,,
16131090480000,t,100,S,CALIFORNIA,AVE,RT-4,,t,1680,,
16132130080000,t,2639,W,ADAMS,ST,RT-4,,t,626,,
16132130070000,t,2639,W,ADAMS,ST,RT-4,,t,10243,,
16132130010000,t,2659,W,ADAMS,ST,RT-4,,t,2875,,
16144060230000,t,3303,W,FLOURNOY,ST,RT-4,,t,3086,,
16144030200000,t,3232,W,FLOURNOY,ST,RT-4,,t,2431,,
16144030270000,t,3214,W,FLOURNOY,ST,RT-4,,t,2703,,
16133000170000,t,3138,W,FLOURNOY,ST,RT-4,,t,2422,,
16142280230000,t,3256,W,CONGRESS,PKWY,RM-5,,t,3137,,
16132160490000,t,314,S,WASHTENAW,AVE,RT-4,,t,6442,,
16132160450000,t,314,S,WASHTENAW,AVE,RT-4,,t,271,,
16114130350000,t,3306,W,WASHINGTON,BLVD,RM-5,,t,3393,,
16114130500000,t,3216,W,WASHINGTON,BLVD,RM-5,,t,2554,,
16123240090000,t,3129,W,WASHINGTON,BLVD,RM-5,,t,3023,,
